nepal_date,cnt
2026-09-17,26414
2026-09-16,33142
2026-09-15,33025
2026-09-14,33288
2026-09-13,32350
2026-09-12,33350
2026-09-11,35815
2026-09-10,37158
2026-09-09,36438
2026-09-08,33627
2026-09-07,33148
2026-09-06,33542
2026-09-05,33549
2026-09-04,33533
2026-09-03,34184
2026-09-02,34383
2026-09-01,26151
2026-08-31,25537
2026-08-30,24170
2026-08-29,23175
2026-08-28,23859
2026-08-27,24126
2026-08-26,23800
2026-08-25,23400
2026-08-24,23127
2026-08-23,22971
2026-08-22,24997
2026-08-21,22930
2026-08-20,22920
2026-08-19,23479
2026-08-18,25765
2026-08-17,22658
2026-08-16,20503
2026-08-15,20211
2026-08-14,21186
2026-08-13,20989
2026-08-12,20997
2026-08-11,20883
2026-08-10,19954
2026-08-09,22713
2026-08-08,19935
2026-08-07,22551
2026-08-06,19811
2026-08-05,22813
2026-08-04,15125
2026-08-03,15833
2026-08-02,16020
2026-08-01,14801
2026-07-31,14922
2026-07-30,14268
2026-07-29,14363
2026-07-28,17889
2026-07-27,11985
2026-07-26,12822
2026-07-25,13729
2026-07-24,11959
2026-07-23,9647
2026-07-22,9081
2026-07-21,8781
2026-07-20,8146
2026-07-19,13605
2026-07-18,12859
2026-07-17,11197
2026-07-16,11772
2026-07-15,12028
2026-07-14,11737
2026-07-13,11010
2026-07-12,10875
2026-07-11,10544
2026-07-10,11475
2026-07-09,11201
2026-07-08,10992
2026-07-07,9550
2026-07-06,9345
2026-07-05,8475
2026-07-04,7981
2026-07-03,9520
2026-07-02,10768
2026-07-01,11193
2026-06-30,10529
2026-06-29,10213
2026-06-28,10526
2026-06-27,10771
2026-06-26,8452
2026-06-25,9030
2026-06-24,6660
2026-06-23,8768
2026-06-22,8193
2026-06-21,7343
2026-06-20,8993
2026-06-19,9428
2026-06-18,9298
2026-06-17,7701
2026-06-16,7694
2026-06-15,6925
2026-06-14,7255
2026-06-13,6930
2026-06-12,7503
2026-06-11,7424
2026-06-10,7847
2026-06-09,8286
2026-06-08,8652
2026-06-07,8159
2026-06-06,8478
2026-06-05,8285
2026-06-04,9047
2026-06-03,8693
2026-06-02,9167
2026-06-01,7855
2026-05-31,8209
2026-05-30,8203
2026-05-29,9605
2026-05-28,9625
2026-05-27,9299
2026-05-26,8031
2026-05-25,7565
2026-05-24,7490
2026-05-23,7885
2026-05-22,7786
2026-05-21,7527
2026-05-20,6322
2026-05-19,7345
2026-05-18,7294
2026-05-17,7484
2026-05-16,7974
2026-05-15,8382
2026-05-14,8163
2026-05-13,6914
2026-05-12,6764
2026-05-11,6426
2026-05-10,6859
2026-05-09,7043
2026-05-08,6464
2026-05-07,6582
2026-05-06,5822
2026-05-05,5079
2026-05-04,3257
2026-05-03,4683
2026-05-02,4005
2026-05-01,4804
2026-04-30,4799
2026-04-29,5114
2026-04-28,5791
2026-04-27,5833
2026-04-26,5952
2026-04-25,5383
2026-04-24,4156
2026-04-23,4851
2026-04-22,4840
2026-04-21,4517
2026-04-20,4174
2026-04-19,4127
2026-04-18,4128
2026-04-17,4573
2026-04-16,3674
2026-04-15,2988
2026-04-14,4636
2026-04-13,4377
2026-04-12,3167
2026-04-11,3180
2026-04-10,3187
2026-04-09,4542
2026-04-08,2926
2026-04-07,3573
2026-04-06,2735
2026-04-05,1977
2026-04-04,3117
2026-04-03,1288
2026-04-02,2410
2026-04-01,2415
2026-03-31,2730
2026-03-30,2643
2026-03-29,1468
2026-03-28,3005
2026-03-27,2339
2026-03-26,3090
2026-03-25,2140
2026-03-24,1082
2026-03-23,2154
2026-03-22,2425
2026-03-21,2300
2026-03-20,2809
2026-03-19,1457
2026-03-18,1840
2026-03-17,1032
2026-03-16,1203
2026-03-15,1107
2026-03-14,1087
2026-03-13,1309
2026-03-12,849
2026-03-11,710
2026-03-09,330
2026-03-08,773
2026-03-07,937
2026-03-06,856
2026-03-05,736
2026-03-04,648
2026-03-03,665
2026-03-02,919
2026-03-01,670
2026-02-28,1192
2026-02-27,763
2026-02-26,428
2026-02-25,936
2026-02-24,841
2026-02-23,391
2026-02-22,285
2026-02-21,514
2026-02-20,460
2026-02-19,335
2026-02-18,418
2026-02-17,299
2026-02-16,482
2026-02-15,581
2026-02-14,396
2026-02-13,577
2026-02-12,330
2026-02-11,254
2026-02-10,69
