nepal_date,transaction_type,cnt
2026-09-17,deposit,26414
2026-09-16,deposit,33142
2026-09-15,deposit,33025
2026-09-14,deposit,33287
2026-09-14,withdrawal,1
2026-09-13,deposit,32350
2026-09-12,deposit,33350
2026-09-11,deposit,35815
2026-09-10,deposit,37143
2026-09-10,withdrawal,15
2026-09-09,deposit,36391
2026-09-09,withdrawal,47
2026-09-08,deposit,33577
2026-09-08,withdrawal,50
2026-09-07,deposit,33144
2026-09-07,withdrawal,4
2026-09-06,deposit,33528
2026-09-06,withdrawal,14
2026-09-05,deposit,33502
2026-09-05,withdrawal,47
2026-09-04,deposit,33518
2026-09-04,withdrawal,15
2026-09-03,deposit,34154
2026-09-03,withdrawal,30
2026-09-02,deposit,34344
2026-09-02,withdrawal,39
2026-09-01,deposit,26127
2026-09-01,withdrawal,24
2026-08-31,deposit,25471
2026-08-31,withdrawal,66
2026-08-30,deposit,24122
2026-08-30,withdrawal,48
2026-08-29,deposit,23062
2026-08-29,withdrawal,113
2026-08-28,deposit,23633
2026-08-28,withdrawal,226
2026-08-27,deposit,24075
2026-08-27,withdrawal,51
2026-08-26,deposit,23658
2026-08-26,withdrawal,142
2026-08-25,deposit,23331
2026-08-25,withdrawal,69
2026-08-24,deposit,23031
2026-08-24,withdrawal,96
2026-08-23,deposit,22774
2026-08-23,withdrawal,197
2026-08-22,deposit,24822
2026-08-22,withdrawal,175
2026-08-21,deposit,22817
2026-08-21,withdrawal,113
2026-08-20,deposit,22677
2026-08-20,withdrawal,243
2026-08-19,deposit,23220
2026-08-19,withdrawal,259
2026-08-18,deposit,25642
2026-08-18,withdrawal,123
2026-08-17,deposit,22606
2026-08-17,withdrawal,52
2026-08-16,deposit,20287
2026-08-16,withdrawal,216
2026-08-15,deposit,20167
2026-08-15,withdrawal,44
2026-08-14,deposit,21014
2026-08-14,withdrawal,172
2026-08-13,deposit,20730
2026-08-13,withdrawal,259
2026-08-12,deposit,20799
2026-08-12,withdrawal,198
2026-08-11,deposit,20687
2026-08-11,withdrawal,196
2026-08-10,deposit,19765
2026-08-10,withdrawal,189
2026-08-09,deposit,22483
2026-08-09,withdrawal,230
2026-08-08,deposit,19838
2026-08-08,withdrawal,97
2026-08-07,deposit,22166
2026-08-07,withdrawal,385
2026-08-06,deposit,19658
2026-08-06,withdrawal,153
2026-08-05,deposit,22452
2026-08-05,withdrawal,361
2026-08-04,deposit,14882
2026-08-04,withdrawal,243
2026-08-03,deposit,15736
2026-08-03,withdrawal,97
2026-08-02,deposit,15991
2026-08-02,withdrawal,29
2026-08-01,deposit,14722
2026-08-01,withdrawal,79
2026-07-31,deposit,14755
2026-07-31,withdrawal,167
2026-07-30,deposit,14133
2026-07-30,withdrawal,135
2026-07-29,deposit,14170
2026-07-29,withdrawal,193
2026-07-28,deposit,17599
2026-07-28,withdrawal,290
2026-07-27,deposit,11898
2026-07-27,withdrawal,87
2026-07-26,deposit,12768
2026-07-26,withdrawal,54
2026-07-25,deposit,13540
2026-07-25,withdrawal,189
2026-07-24,deposit,11786
2026-07-24,withdrawal,173
2026-07-23,deposit,9598
2026-07-23,withdrawal,49
2026-07-22,deposit,9061
2026-07-22,withdrawal,20
2026-07-21,deposit,8708
2026-07-21,withdrawal,73
2026-07-20,deposit,8052
2026-07-20,withdrawal,94
2026-07-19,deposit,13578
2026-07-19,withdrawal,27
2026-07-18,deposit,12834
2026-07-18,withdrawal,25
2026-07-17,deposit,11131
2026-07-17,withdrawal,66
2026-07-16,deposit,11676
2026-07-16,withdrawal,96
2026-07-15,deposit,11950
2026-07-15,withdrawal,78
2026-07-14,deposit,11644
2026-07-14,withdrawal,93
2026-07-13,deposit,10960
2026-07-13,withdrawal,50
2026-07-12,deposit,10875
2026-07-11,deposit,10544
2026-07-10,deposit,11408
2026-07-10,withdrawal,67
2026-07-09,deposit,11125
2026-07-09,withdrawal,76
2026-07-08,deposit,10893
2026-07-08,withdrawal,99
2026-07-07,deposit,9445
2026-07-07,withdrawal,105
2026-07-06,deposit,9207
2026-07-06,withdrawal,138
2026-07-05,deposit,8371
2026-07-05,withdrawal,104
2026-07-04,deposit,7894
2026-07-04,withdrawal,87
2026-07-03,deposit,9336
2026-07-03,withdrawal,184
2026-07-02,deposit,10546
2026-07-02,withdrawal,222
2026-07-01,deposit,10940
2026-07-01,withdrawal,253
2026-06-30,deposit,10440
2026-06-30,withdrawal,89
2026-06-29,deposit,10153
2026-06-29,withdrawal,60
2026-06-28,deposit,10456
2026-06-28,withdrawal,70
2026-06-27,deposit,10697
2026-06-27,withdrawal,74
2026-06-26,deposit,8379
2026-06-26,withdrawal,73
2026-06-25,deposit,8886
2026-06-25,withdrawal,144
2026-06-24,deposit,6650
2026-06-24,withdrawal,10
2026-06-23,deposit,8671
2026-06-23,withdrawal,97
2026-06-22,deposit,8047
2026-06-22,withdrawal,146
2026-06-21,deposit,7231
2026-06-21,withdrawal,112
2026-06-20,deposit,8876
2026-06-20,withdrawal,117
2026-06-19,deposit,9273
2026-06-19,withdrawal,155
2026-06-18,deposit,9100
2026-06-18,withdrawal,198
2026-06-17,deposit,7506
2026-06-17,withdrawal,195
2026-06-16,deposit,7567
2026-06-16,withdrawal,127
2026-06-15,deposit,6778
2026-06-15,withdrawal,147
2026-06-14,deposit,7110
2026-06-14,withdrawal,145
2026-06-13,deposit,6794
2026-06-13,withdrawal,136
2026-06-12,deposit,7332
2026-06-12,withdrawal,171
2026-06-11,deposit,7241
2026-06-11,withdrawal,183
2026-06-10,deposit,7668
2026-06-10,withdrawal,179
2026-06-09,deposit,8084
2026-06-09,withdrawal,202
2026-06-08,deposit,8481
2026-06-08,withdrawal,171
2026-06-07,deposit,7984
2026-06-07,withdrawal,175
2026-06-06,deposit,8250
2026-06-06,withdrawal,228
2026-06-05,deposit,8056
2026-06-05,withdrawal,229
2026-06-04,deposit,8858
2026-06-04,withdrawal,189
2026-06-03,deposit,8554
2026-06-03,withdrawal,139
2026-06-02,deposit,8967
2026-06-02,withdrawal,200
2026-06-01,deposit,7676
2026-06-01,withdrawal,179
2026-05-31,deposit,7988
2026-05-31,withdrawal,221
2026-05-30,deposit,7987
2026-05-30,withdrawal,216
2026-05-29,deposit,9362
2026-05-29,withdrawal,243
2026-05-28,deposit,9396
2026-05-28,withdrawal,229
2026-05-27,deposit,9123
2026-05-27,withdrawal,176
2026-05-26,deposit,7809
2026-05-26,withdrawal,222
2026-05-25,deposit,7452
2026-05-25,withdrawal,113
2026-05-24,deposit,7456
2026-05-24,withdrawal,34
2026-05-23,deposit,7834
2026-05-23,withdrawal,51
2026-05-22,deposit,7728
2026-05-22,withdrawal,58
2026-05-21,deposit,7470
2026-05-21,withdrawal,57
2026-05-20,deposit,6254
2026-05-20,withdrawal,68
2026-05-19,deposit,7329
2026-05-19,withdrawal,16
2026-05-18,deposit,7293
2026-05-18,withdrawal,1
2026-05-17,deposit,7484
2026-05-16,deposit,7974
2026-05-15,deposit,8381
2026-05-15,withdrawal,1
2026-05-14,deposit,8163
2026-05-13,deposit,6914
2026-05-12,deposit,6764
2026-05-11,deposit,6426
2026-05-10,deposit,6859
2026-05-09,deposit,7043
2026-05-08,deposit,6464
2026-05-07,deposit,6582
2026-05-06,deposit,5822
2026-05-05,deposit,5079
2026-05-04,deposit,3257
2026-05-03,deposit,4683
2026-05-02,deposit,4005
2026-05-01,deposit,4804
2026-04-30,deposit,4799
2026-04-29,deposit,5114
2026-04-28,deposit,5791
2026-04-27,deposit,5833
2026-04-26,deposit,5952
2026-04-25,deposit,5383
2026-04-24,deposit,4156
2026-04-23,deposit,4851
2026-04-22,deposit,4840
2026-04-21,deposit,4517
2026-04-20,deposit,4174
2026-04-19,deposit,4127
2026-04-18,deposit,4128
2026-04-17,deposit,4573
2026-04-16,deposit,3674
2026-04-15,deposit,2988
2026-04-14,deposit,4636
2026-04-13,deposit,4377
2026-04-12,deposit,3167
2026-04-11,deposit,3180
2026-04-10,deposit,3187
2026-04-09,deposit,4542
2026-04-08,deposit,2926
2026-04-07,deposit,3573
2026-04-06,deposit,2735
2026-04-05,deposit,1977
2026-04-04,deposit,3117
2026-04-03,deposit,1288
2026-04-02,deposit,2410
2026-04-01,deposit,2415
2026-03-31,deposit,2730
2026-03-30,deposit,2643
2026-03-29,deposit,1468
2026-03-28,deposit,3005
2026-03-27,deposit,2339
2026-03-26,deposit,3090
2026-03-25,deposit,2140
2026-03-24,deposit,1082
2026-03-23,deposit,2154
2026-03-22,deposit,2425
2026-03-21,deposit,2300
2026-03-20,deposit,2809
2026-03-19,deposit,1457
2026-03-18,deposit,1840
2026-03-17,deposit,1032
2026-03-16,deposit,1203
2026-03-15,deposit,1107
2026-03-14,deposit,1087
2026-03-13,deposit,1309
2026-03-12,deposit,849
2026-03-11,deposit,710
2026-03-09,deposit,330
2026-03-08,deposit,773
2026-03-07,deposit,937
2026-03-06,deposit,856
2026-03-05,deposit,736
2026-03-04,deposit,648
2026-03-03,deposit,665
2026-03-02,deposit,919
2026-03-01,deposit,670
2026-02-28,deposit,1192
2026-02-27,deposit,763
2026-02-26,deposit,428
2026-02-25,deposit,936
2026-02-24,deposit,841
2026-02-23,deposit,391
2026-02-22,deposit,285
2026-02-21,deposit,514
2026-02-20,deposit,460
2026-02-19,deposit,335
2026-02-18,deposit,418
2026-02-17,deposit,299
2026-02-16,deposit,482
2026-02-15,deposit,581
2026-02-14,deposit,396
2026-02-13,deposit,577
2026-02-12,deposit,330
2026-02-11,deposit,254
2026-02-10,deposit,69
